anglais,francais
Linear map,Application linéaire
to map,
Vector space,Espace vectoriel
Kernel,Noyau
Diferentiation,Dérivation
Integration,Intégration
Domain, ensemble de départ d'une application
The zero linear map,L'application nulle
Range,Image
Additive identity, \'Elément neutre additif
Multiplicative identity, \'Elément neutre multiplicatif
Closed under addition, Muni de la loi de composition interne 
Closed under scalar multiplication, Muni de la loi de composition externe
One-to-one, Injective
span, engendre
finite-dimensional vector space, espace vectoriel de dimension finie.